127.0.0.1 - - [20/Jan/2022:13:20:50 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:21:14 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:21:14 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:21:30 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:22:05 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:22:10 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:22:36 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:22:50 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:22:53 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:41:41 -0300] "GET /gerenciador/listaEmpresas.hotml HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:41:45 -0300] "GET /gerenciador/listaEmpresas.html HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:41:58 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:42:57 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:42:58 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:42:59 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:54:59 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:55:39 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:18 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:20 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:20 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:56:34 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:57:55 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [20/Jan/2022:13:59:08 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Jan/2022:14:02:09 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [20/Jan/2022:14:02:42 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [20/Jan/2022:14:02:43 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 92
